table_id,creation_timestamp,last_modified_timestamp,row_count,size_mb
international_top_rising_terms_4_to_5,2025-06-28 22:43:52.225000 UTC,2025-06-28 22:43:52.225000 UTC,13104146,496.22609996795654
international_top_rising_terms_3_to_4,2025-06-28 22:43:44.595000 UTC,2025-06-28 22:43:44.595000 UTC,20657910,761.070858001709
international_top_rising_terms_2_to_3,2025-06-28 22:43:36.748000 UTC,2025-06-28 22:43:36.748000 UTC,20657910,760.558253288269
international_top_rising_terms_1_to_2,2025-06-28 22:43:29.303000 UTC,2025-06-28 22:43:29.303000 UTC,20657910,764.73195266723633
international_top_rising_terms_0_to_1,2025-06-28 22:43:22.365000 UTC,2025-06-28 22:43:22.365000 UTC,18081840,687.06853199005127
top_rising_terms_4_to_5,2025-06-28 22:42:14.030000 UTC,2025-06-28 22:42:14.030000 UTC,2746800,79.058017730712891
top_rising_terms_3_to_4,2025-06-28 22:42:11.659000 UTC,2025-06-28 22:42:11.659000 UTC,4395300,127.89424896240234
top_rising_terms_2_to_3,2025-06-28 22:42:07.003000 UTC,2025-06-28 22:42:07.003000 UTC,4395300,129.79042053222656
top_rising_terms_1_to_2,2025-06-28 22:42:03.249000 UTC,2025-06-28 22:42:03.249000 UTC,4395300,137.28878974914551
top_rising_terms_0_to_1,2025-06-28 22:42:00.249000 UTC,2025-06-28 22:42:00.249000 UTC,3847200,113.58744621276855
international_weekly_top_terms_4_to_5,2025-06-28 22:39:15.801000 UTC,2025-06-28 22:39:15.801000 UTC,13140728,463.45845317840576
international_weekly_top_terms_3_to_4,2025-06-28 22:39:08.229000 UTC,2025-06-28 22:39:08.229000 UTC,20497752,708.77567291259766
international_weekly_top_terms_2_to_3,2025-06-28 22:39:00.562000 UTC,2025-06-28 22:39:00.562000 UTC,20560368,718.756591796875
international_weekly_top_terms_1_to_2,2025-06-28 22:38:52.100000 UTC,2025-06-28 22:38:52.100000 UTC,20507015,746.25055599212646
international_weekly_top_terms_0_to_1,2025-06-28 22:38:43.986000 UTC,2025-06-28 22:38:43.986000 UTC,17930542,651.025218963623
weekly_top_terms_4_to_5,2025-06-28 22:27:32.943000 UTC,2025-06-28 22:27:32.944000 UTC,2746800,86.399173736572266
weekly_top_terms_3_to_4,2025-06-28 22:27:30.345000 UTC,2025-06-28 22:27:30.346000 UTC,4395300,145.4047966003418
weekly_top_terms_2_to_3,2025-06-28 22:27:27.090000 UTC,2025-06-28 22:27:27.091000 UTC,4395300,145.08055686950684
weekly_top_terms_1_to_2,2025-06-28 22:27:23.664000 UTC,2025-06-28 22:27:23.665000 UTC,4395300,150.68135261535645
weekly_top_terms_0_to_1,2025-06-28 22:27:20.003000 UTC,2025-06-28 22:27:20.004000 UTC,3847200,131.18571281433105
weekly_top_terms_9_to_10,2025-06-28 22:26:26.699000 UTC,2025-06-28 22:26:26.700000 UTC,0,0.0
weekly_top_terms_8_to_9,2025-06-28 22:26:24.949000 UTC,2025-06-28 22:26:24.950000 UTC,0,0.0
weekly_top_terms_7_to_8,2025-06-28 22:26:22.795000 UTC,2025-06-28 22:26:22.796000 UTC,0,0.0
weekly_top_terms_6_to_7,2025-06-28 22:26:20.938000 UTC,2025-06-28 22:26:20.939000 UTC,0,0.0
weekly_top_terms_5_to_6,2025-06-28 22:26:19.051000 UTC,2025-06-28 22:26:19.052000 UTC,0,0.0